Instance,Income
111994,39046.895
111995,16725.531
111996,40612.586
111997,132856.27
111998,24395.48
111999,86673.875
112000,100941.28
112001,58632.74
112002,28027.086
112003,124970.59
112004,8239.469
112005,170634.98
112006,29335.703
112007,97626.91
112008,242449.89
112009,79101.79
112010,42005.395
112011,29371.15
112012,22158.588
112013,15341.932
112014,133075.0
112015,52067.09
112016,49992.895
112017,24715.912
112018,155116.16
112019,47865.785
112020,36179.586
112021,23899.7
112022,96550.836
112023,59362.02
112024,24440.045
112025,86409.0
112026,48845.906
112027,70119.88
112028,35772.746
112029,37806.555
112030,156795.72
112031,198329.72
112032,234300.42
112033,93427.25
112034,175303.1
112035,84019.99
112036,147741.02
112037,90126.13
112038,195372.31
112039,46998.254
112040,62915.82
112041,65813.08
112042,43478.355
112043,68259.26
112044,49411.844
112045,16473.125
112046,326670.94
112047,31495.072
112048,24197.25
112049,107138.586
112050,37801.9
112051,70297.48
112052,134213.66
112053,205193.16
112054,73194.41
112055,29681.256
112056,98817.445
112057,13316.681
112058,22720.295
112059,33908.215
112060,336522.66
112061,114641.195
112062,199347.02
112063,73475.83
112064,8224.682
112065,58659.5
112066,5633.9653
112067,117320.56
112068,51723.355
112069,295120.88
112070,293724.44
112071,43887.67
112072,82270.55
112073,41846.43
112074,19040.041
112075,14807.598
112076,130621.01
112077,1269639.4
112078,7677.2734
112079,183345.03
112080,93484.55
112081,841739.2
112082,43275.844
112083,44324.12
112084,18180.367
112085,45374.875
112086,31363.848
112087,58490.9
112088,128755.7
112089,51834.93
112090,201964.7
112091,42718.355
112092,32908.117
112093,82451.82
112094,36400.35
112095,51617.727
112096,131512.42
112097,17267.906
112098,35066.613
112099,33634.254
112100,51575.918
112101,148141.44
112102,30431.398
112103,132859.58
112104,60002.76
112105,41469.9
112106,112604.05
112107,123739.68
112108,66674.25
112109,24928.775
112110,45129.684
112111,29870.31
112112,73307.98
112113,72037.22
112114,61440.63
112115,13299.729
112116,42018.793
112117,81050.0
112118,25706.06
112119,36406.316
112120,532790.8
112121,137274.5
112122,525296.6
112123,166077.66
112124,37681.324
112125,196496.58
112126,162391.55
112127,10669.045
112128,40593.15
112129,107639.67
112130,87910.0
112131,22018.717
112132,77934.81
112133,328886.6
112134,20664.5
112135,11284.403
112136,46163.457
112137,14167.801
112138,24234.174
112139,69737.805
112140,43476.63
112141,47947.824
112142,73767.01
112143,206060.97
112144,29951.74
112145,31466.701
112146,38868.617
112147,256105.88
112148,51789.055
112149,68659.39
112150,71.05116
112151,376883.03
112152,107576.12
112153,52405.832
112154,24928.754
112155,93451.78
112156,75302.14
112157,93746.375
112158,34739.05
112159,279446.9
112160,27020.43
112161,166397.03
112162,66913.39
112163,12888.091
112164,33874.95
112165,149294.2
112166,39067.36
112167,12708.02
112168,48999.17
112169,285679.03
112170,230030.38
112171,38457.76
112172,23410.082
112173,114135.68
112174,34394.92
112175,39702.242
112176,32106.91
112177,110929.03
112178,19223.17
112179,33538.1
112180,41045.297
112181,9183.081
112182,261410.55
